race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Japanese,Start,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,1,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,2:02.046,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,2,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,3:03.369,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,3,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,9:13.758,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,4,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,2:45.704,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,5,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,3:03.390,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,6,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:50.761,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,7,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:52.865,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,8,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,4,2:10.625,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,9,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:45.148,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,10,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:44.911,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,11,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:45.011,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,12,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:45.403,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,13,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:45.802,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,14,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:46.813,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,15,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:47.348,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,16,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:47.516,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,17,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:47.416,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,18,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:47.598,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,19,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:47.654,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,20,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:47.742,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,21,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:47.563,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,22,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:47.350,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,23,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:47.651,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,24,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:47.582,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,25,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:47.794,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,26,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:47.991,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,27,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:48.249,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,28,VER,821,Red Bull,Red Bull RBPTH001,1,1:29.304,1,1:48.944,,1,25,37.744,46.812,20.254,1:44.810,272.1,294.9,248.7,281.2,,
Japanese,Start,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,4,,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,1,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,2:07.539,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,2,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,3:03.119,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,3,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,9:11.999,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,4,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,2:46.411,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,5,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,3:01.424,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,6,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:53.662,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,7,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:54.053,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,8,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,7,2:11.551,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,9,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,4,1:47.730,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,10,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:47.088,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,11,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:46.120,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,12,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:46.165,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,13,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:47.120,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,14,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:47.253,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,15,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:47.387,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,16,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:47.885,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,17,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:48.246,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,18,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:48.133,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,19,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:48.126,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,20,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:47.338,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,21,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:48.221,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,22,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:47.591,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,23,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:48.819,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,24,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:49.857,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,25,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:49.165,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,26,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:49.258,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,27,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:49.491,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,28,PER,785,Red Bull,Red Bull RBPTH001,4,1:29.709,3,1:50.319,,2 +2,18,38.035,47.251,20.268,1:45.554,272.2,297.4,248.8,288.7,,
Japanese,Start,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,1,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,2:04.571,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,2,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,3:03.735,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,3,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,9:12.789,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,4,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,2:45.976,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,5,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,3:01.833,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,6,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:51.393,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,7,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:52.863,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,8,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,5,2:12.483,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,9,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:46.672,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,10,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:44.489,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,11,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:45.481,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,12,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:46.628,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,13,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:47.272,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,14,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:48.247,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,15,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:48.731,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,16,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:48.440,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,17,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:48.644,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,18,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:48.678,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,19,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:48.310,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,20,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:48.442,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,21,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:48.844,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,22,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:48.618,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,23,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:49.122,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,24,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:50.087,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,25,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:49.001,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,26,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:49.523,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,27,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:49.229,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,28,LEC,833,Ferrari,Ferrari 066/7,2,1:29.314,2,1:50.666,,3 -1,15,37.550,46.760,20.020,1:44.330,268.9,291.2,248.9,286.5,,
Japanese,Start,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,5,,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,1,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,2:12.607,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,2,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,2:59.566,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,3,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,9:13.288,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,4,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,2:45.290,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,5,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,3:00.129,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,6,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:54.730,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,7,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:54.890,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,8,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,8,2:11.686,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,9,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,5,1:48.747,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,10,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:48.104,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,11,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:46.559,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,12,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:47.152,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,13,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:47.106,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,14,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:47.560,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,15,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:48.178,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,16,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:48.364,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,17,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:48.958,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,18,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:48.428,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,19,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:49.109,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,20,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:49.271,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,21,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:49.012,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,22,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:49.454,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,23,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:49.121,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,24,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:49.213,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,25,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:49.260,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,26,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:49.064,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,27,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:49.261,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,28,OCO,823,Alpine,Renault E-Tech RE22,5,1:30.165,4,1:49.582,,4 +1,12,38.142,47.634,20.454,1:46.230,264.6,295.4,247.5,288.0,,
Japanese,Start,HAM,482,Mercedes,Mercedes M13 E,6,1:30.261,6,,,5 +1,10,37.815,47.230,20.485,1:45.530,266.9,302.6,249.7,281.3,,
Japanese,1,HAM,482,Mercedes,Mercedes M13 E,6,1:30.261,5,2:16.349,,5 +1,10,37.815,47.230,20.485,1:45.530,266.9,302.6,249.7,281.3,,
Japanese,2,HAM,482,Mercedes,Mercedes M13 E,6,1:30.261,5,3:00.131,,5 +1,10,37.815,47.230,20.485,1:45.530,266.9,302.6,249.7,281.3,,
Japanese,3,HAM,482,Mercedes,Mercedes M13 E,6,1:30.261,5,9:12.244,,5 +1,10,37.815,47.230,20.485,1:45.530,266.9,302.6,249.7,281.3,,
Japanese,4,HAM,482,Mercedes,Mercedes M13 E,6,1:30.261,5,2:46.392,,5 +1,10,37.815,47.230,20.485,1:45.530,266.9,302.6,249.7,281.3,,
